ID_REF	Description	GSM41346	GSM41347	GSM41348	GSM41349	GSM41350	GSM41351	GSM41352	GSM41353	GSM41354	GSM41355	GSM41356	GSM41357
1007_s_at	NA	1671.3	1483.2	1583.6	1577.6	1412.3	1600.9	1952.8	1534.5	1649.6	1624.5	1359.7	1375.2
1053_at	NA	222.3	329.8	152.8	337.2	343.8	170.1	299.9	430.5	231.2	351.2	476.6	189.2
117_at	NA	617.4	225.3	170.8	284	838.5	513.2	171.4	191.9	225	158.5	182.6	218.5
121_at	NA	1267.8	1066.1	1277.7	1096.1	1686.7	1523	1480.8	1879.7	1412.3	1317.9	1812.7	1402.5
1255_g_at	NA	81.8	69.3	59	54.6	72.9	90.5	116.1	58.5	66.8	59.9	12.4	75.8
1294_at	NA	314.4	256.9	270.6	316.8	436.9	378.1	535.9	360.2	319.6	522.8	354.5	363.3
1316_at	NA	77.5	110.8	126.3	96.7	93.9	95.2	170.7	108.4	111.5	131.4	140.1	133.3
1320_at	NA	216.8	168.1	171.1	179.7	75.6	218.5	241.4	101.7	246	185.5	166.4	237.8
1405_i_at	NA	11.8	7.9	7	14	10.1	11.4	21.5	5.5	6.9	19.8	11	8.6
1431_at	NA	90.6	69.9	46	95.2	38.1	52.8	111.6	40.2	54.1	85.7	63.5	50.2
1438_at	NA	111.2	31	145.4	42.4	33.9	159.9	71.4	99.2	139.1	122.4	20.5	34.2
1487_at	NA	766.8	861	1162	699.2	685.7	1100.9	963.5	757	976.2	821	534	986.8
1494_f_at	NA	328.1	341.4	235	283.7	253.2	312.3	420.7	319.2	330.2	462.3	263.4	256.9
1598_g_at	NA	2928.4	1330.2	2186.4	2694.3	2388.2	2354.8	3588.2	2253.6	2768.1	3908.9	2178.6	3124.1
160020_at	NA	1427.4	623.8	1304.9	1525	816.4	2021	1637.8	857.6	1677.2	1520.4	855.5	1411.1
1729_at	NA	480.9	320.6	482.2	360.9	314.9	384.2	375.2	408.9	490	359.1	393.5	442.9
1773_at	NA	239.8	156.9	186.8	211.4	206.4	293.4	347.9	224.9	225	257.6	206.2	251.7
177_at	NA	182.9	116.3	130.4	209.6	172.2	136	303	167.4	185.3	297.1	209	227.5
179_at	NA	1289.2	1754.9	1301.1	1206.9	1124.6	1424.2	1564.5	817.1	1692.9	1233.6	1236.4	1752.4
1861_at	NA	542.7	607.8	461.7	483.1	602.3	522.7	562.3	582.4	418.1	525.3	516.2	506.7
200000_s_at	NA	2190.5	2109.7	1908.9	2187.5	2149.6	2075	2286.3	2436.6	2238	2506.8	2261.7	1966
200001_at	NA	5903.3	3699.2	6528.4	5901.7	5616.3	8108.9	7074.1	5434.1	8318.3	6391.3	4921.6	7766.8
200002_at	NA	9099	16649	11571.9	7964.6	14915.8	11714.1	9573	14408.4	10396.2	9801.8	15278.9	11784.6
200003_s_at	NA	12610	16434.3	14076.3	9531.1	16480.9	15495.9	11403.1	16737.8	12256	11918.2	15856.3	13636.2
200004_at	NA	5757.9	7359.8	5332.5	5608.3	6803.7	6307.8	4807.7	7215.7	5852.9	5419.1	7218.6	5105.8
200005_at	NA	2618	2862.8	3250.9	3017.8	3390.5	3882	3303.4	3020.5	3461.2	2833.4	3159	4246
200006_at	NA	6006.5	7856.4	5820.7	5784.9	8723.1	6181.2	5474.7	8855.8	7438.2	6559.2	8581.5	6455.6
200007_at	NA	4234.2	8679.2	7623.4	4349.4	6322.5	4916.8	4101.3	5483.5	5672	4250.3	6159.3	5722.1
200008_s_at	NA	3887.9	2916	3391.3	3158.8	2993.2	4123.2	4161.1	3099.2	4209.9	3600.1	3047.9	4867.7
200009_at	NA	5496.9	5743.3	5653	4900	6198	6429.3	5530.2	6677.1	6682.2	5821	6760.3	5535.5
200010_at	NA	7718.2	10300.4	8786.5	6220.7	10451.4	12148.3	6209.3	10825.1	7649.6	7249.1	9236.7	9687.6
200011_s_at	NA	1681.1	1234.6	1651.7	1715.8	1315.2	1570.1	1797.3	1402.5	1705.1	1665.1	1568.4	1733.8
200012_x_at	NA	7759.5	11968.7	8758.4	6190	9962.8	10525.5	7437.4	9687.7	8328.2	7293.3	11931.8	12169.2
200013_at	NA	10385.5	15121.9	14279.9	8785.4	12584	12222.9	9310.7	11661.8	10884.5	10276.6	12419.7	12019.5
200014_s_at	NA	2154.6	2342	2208.7	2399.2	2962.9	2570.8	2035.2	3094.3	2574.3	2521	3085.4	2529.4
200015_s_at	NA	2460.5	2429.3	2171.1	2684.7	2610.7	2007.2	2372.1	3070.2	2310.4	2745.5	2874.7	2320.9
200016_x_at	NA	8660.6	8617.5	7035.8	7758.4	10973.3	8501.3	7651.5	11817.4	7945.5	9030.6	10765.4	7644.3
200017_at	NA	8764.6	11558.2	11723.4	8399.7	11575.2	6630.1	9310.4	11306.1	10307.9	8228	10532.4	11058.2
200018_at	NA	11298.1	15822.8	14411.5	9530.3	15926.8	15777.6	11340.8	15159.2	13736.5	10995	14720.1	15956.4
200019_s_at	NA	10449.6	14582.8	11378	9303	14344	11578.7	9186.4	12780.6	9678.8	9807.3	12592.2	11793.9
200020_at	NA	1811	1662.1	2087.1	2009.1	1648.6	1486.2	1818.3	1752.2	2078.8	1838.8	1800.7	1948.7
200021_at	NA	12847.2	22668.3	18634.4	9467.1	19747.5	22266.7	14159.4	19142.5	15151.5	12188.4	18871.2	16713.8
200022_at	NA	10044.2	14566.6	11326.7	9162.1	13893.3	13911.9	10068.1	12784.4	10597.3	9924.5	13337.1	13073.7
200023_s_at	NA	4598.8	5866	5372.5	4564.1	5617.4	4975.3	4514.4	5284.9	5235.8	4889.1	5253.3	4979.1
200024_at	NA	10059	10811.2	11604.4	7803.3	12353.4	12967.9	8737.8	11718	11953.2	10085.9	12398.9	11923.6
200025_s_at	NA	11273.7	14715.8	13272.9	8680.8	14636	16323.8	10229.1	13094.3	13153.8	10560.1	13348.2	13858.1
200026_at	NA	12654.7	9447.6	9197.9	9728.3	10092.8	11218	11195.2	10022.1	11939.3	12246.1	11937.4	10910.5
200027_at	NA	3599.3	4299.9	4862.7	3866.9	5499.1	4529.1	4064.4	5251.7	4707.7	3222	5505.3	4981.5
200028_s_at	NA	1671.5	1670.7	2300.8	2149.6	1625	2490	1512.2	1379.8	2144.1	1823.3	1544.8	1508.6
200029_at	NA	10839.6	13946	13300.2	8371	13978.8	15218.6	9599.6	13663.8	12673.7	10561.6	13355.1	12526.5
200030_s_at	NA	10288.2	11197.8	10187	7821.5	8736.7	11618.3	8897.7	9857.2	8406.5	9118.5	9352	9766.2
200031_s_at	NA	14270.3	20885.1	14644.4	10505.2	18845.2	17009.1	15084.3	17301.2	14047.1	13065.9	16996.3	16433.3
200032_s_at	NA	12313.7	17513.1	14512	9343.8	17477.4	17011.5	11725.3	17463.6	12771.4	11253.6	16000.7	13067.1
200033_at	NA	4315.2	6541.3	5200.1	4603.3	4577.2	3695.5	4054.5	4819.6	3893.4	4132.1	5562.5	3599.6
200034_s_at	NA	8990.6	11849	8044.5	6897.9	10804.2	10793.5	8299.5	9672.2	8367.3	8374.4	10180.4	8457.9
200035_at	NA	1668.4	670.2	1929.8	1682.2	884.6	2121.4	1731.5	816.2	2542.3	1571.4	687.6	2466.4
200036_s_at	NA	9288.8	12115.8	9391.6	7136	11502.1	12086.7	7641	9831.7	8857.3	8855.1	10523.3	8628.1
200037_s_at	NA	1884.8	1509	1718.9	2138.9	2222.5	1295.8	1997.2	2217.1	1880.9	2239.6	2016.9	2136.4
